Season,Team,Seed,MarchMadnessWins,BigTenWins
2018-2019,Minnesota,10,1,9
2018-2019,Michigan State,2,4,16
2018-2019,Wisconsin,5,0,14
2018-2019,Ohio State,11,1,8
2018-2019,Purdue,3,3,16
2018-2019,Iowa,10,1,10
2018-2019,Michigan,2,2,15
2018-2019,Maryland,6,1,13
,,,,
2017-2018,Ohio State,5,1,15
2017-2018,Michigan,3,5,13
2017-2018,Purdue,2,2,15
2017-2018,Michigan State,3,1,16
,,,,
2016-2017,Northwestern,8,1,10
2016-2017,Purdue,4,2,14
2016-2017,Minnesota,5,0,11
2016-2017,Wisconsin,8,2,12
2016-2017,Maryland,6,0,12
2016-2017,Michigan State,9,1,10
2016-2017,Michigan,7,2,10
,,,,
2015-2016,Iowa,7,1,12
2015-2016,Maryland,5,2,12
2015-2016,Wisconsin,7,2,12
2015-2016,Indiana,5,2,15
2015-2016,Purdue,5,0,12
2015-2016,Michigan State,2,0,13
2015-2016,Michigan,11,0,10
,,,,
2014-2015,Purdue,9,0,12
2014-2015,Maryland,4,1,14
2014-2015,Indiana,10,0,9
2014-2015,Michigan State,7,4,12
2014-2015,Wisconsin,1,5,16
2014-2015,Ohio State,10,1,11
2014-2015,Iowa,7,1,12
,,,,
2013-2014,Nebraska,11,0,11
2013-2014,Ohio State,6,0,10
2013-2014,Wisconsin,2,4,12
2013-2014,Michigan State,4,3,12
2013-2014,Michigan,2,3,15
2013-2014,Iowa,11,0,9
,,,,
2012-2013,Michigan State,3,2,13
2012-2013,Michigan,4,5,12
2012-2013,Minnesota,11,1,8
2012-2013,Indiana,1,2,14
2012-2013,Wisconsin,5,0,12
2012-2013,Illinois,7,1,8
2012-2013,Ohio State,2,3,13
,,,,
2011-2012,Michigan,4,0,13
2011-2012,Purdue,10,1,10
2011-2012,Michigan State,1,2,13
2011-2012,Wisconsin,4,2,12
2011-2012,Ohio State,2,4,13
2011-2012,Indiana,4,2,11
,,,,
2010-2011,Michigan,8,1,9
2010-2011,Purdue,3,1,14
2010-2011,Illinois,9,1,9
2010-2011,Ohio State,1,2,16
2010-2011,Penn State,10,0,9
2010-2011,Wisconsin,4,2,13
2010-2011,Michigan State,10,0,9
,,,,
2009-2010,Michigan State,5,4,14
2009-2010,Ohio State,2,2,14
2009-2010,Purdue,4,2,14
2009-2010,Wisconsin,4,1,13
2009-2010,Minnesota,11,0,9
,,,,
2008-2009,Wisconsin,12,1,13
2008-2009,Ohio State,8,0,14
2008-2009,Michigan State,2,5,14
2008-2009,Illinois,5,0,10
2008-2009,Michigan,10,1,7
2008-2009,Minnesota,10,0,9
2008-2009,Purdue,5,2,14
